signal_i,entry_i,exit_i,signal_dt,entry_dt,exit_target_dt,session,hour,signal_open,signal_high,signal_low,signal_close,pdh,pdl,prev_range,break_above_pdh,close_above_pdh,variant,side,status,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,minutes_observed
319,320,352,2022-05-05 07:00:00+00:00,2022-05-05 07:15:00+00:00,2022-05-05 15:15:00+00:00,london,7,1902.22,1902.29,1900.35,1901.08,1877.88,1850.22,27.660000000000082,24.41,23.2,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1901.08,m15_exact_open,1899.63,-1.45,-1.8,-2.15,-2.85,0.92,11.74,480
355,356,388,2022-05-05 16:00:00+00:00,2022-05-05 16:15:00+00:00,2022-05-06 00:15:00+00:00,new_york,16,1903.6,1909.58,1903.43,1906.32,1877.88,1850.22,27.660000000000082,31.7,28.44,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1906.3,m15_exact_open,1877.05,-29.25,-29.6,-29.95,-30.65,-0.36,34.01,480
1087,1088,1120,2022-05-17 07:00:00+00:00,2022-05-17 07:15:00+00:00,2022-05-17 15:15:00+00:00,london,7,1822.0,1822.77,1821.76,1822.72,1814.26,1809.89,4.369999999999891,8.51,8.46,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1822.71,m15_exact_open,1832.45,9.74,9.39,9.04,8.34,13.19,-0.43,480
1123,1124,1156,2022-05-17 16:00:00+00:00,2022-05-17 16:15:00+00:00,2022-05-18 00:15:00+00:00,new_york,16,1832.01,1833.92,1831.13,1831.13,1814.26,1809.89,4.369999999999891,19.66,16.87,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1831.11,m15_exact_open,1812.84,-18.27,-18.62,-18.97,-19.67,-2.73,18.45,480
1314,1315,1347,2022-05-19 15:45:00+00:00,2022-05-19 16:00:00+00:00,2022-05-20 00:00:00+00:00,new_york,15,1833.03,1841.02,1832.64,1837.65,1835.9,1812.66,23.24000000000001,5.12,1.75,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1837.62,m15_exact_open,1841.57,3.95,3.6,3.25,2.55,11.29,5.43,480
1375,1376,1408,2022-05-20 07:00:00+00:00,2022-05-20 07:15:00+00:00,2022-05-20 15:15:00+00:00,london,7,1840.81,1841.55,1840.38,1841.05,1824.46,1807.03,17.430000000000064,17.09,16.59,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1841.11,m15_exact_open,1843.57,2.46,2.11,1.76,1.06,8.09,0.2,480
1411,1412,1444,2022-05-20 16:00:00+00:00,2022-05-20 16:15:00+00:00,2022-05-23 00:15:00+00:00,new_york,16,1845.08,1845.13,1841.6,1841.63,1824.46,1807.03,17.430000000000064,20.67,17.17,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1841.59,m15_exact_open,1847.19,5.6,5.25,4.9,4.2,7.57,9.43,3360
1471,1472,1504,2022-05-23 07:00:00+00:00,2022-05-23 07:15:00+00:00,2022-05-23 15:15:00+00:00,london,7,1853.86,1854.66,1853.78,1853.92,1849.2,1832.16,17.039999999999964,5.46,4.72,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1853.96,m15_exact_open,1863.14,9.18,8.83,8.48,7.78,11.12,2.32,480
1507,1508,1540,2022-05-23 16:00:00+00:00,2022-05-23 16:15:00+00:00,2022-05-24 00:15:00+00:00,new_york,16,1856.8,1858.5,1854.7,1855.93,1849.2,1832.16,17.039999999999964,9.3,6.73,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1855.91,m15_exact_open,1853.45,-2.46,-2.81,-3.16,-3.86,2.68,9.12,480
1567,1568,1600,2022-05-24 07:00:00+00:00,2022-05-24 07:15:00+00:00,2022-05-24 15:15:00+00:00,london,7,1854.65,1855.81,1854.59,1855.81,1849.15,1843.27,5.880000000000109,6.66,6.66,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1855.8,m15_exact_open,1859.32,3.52,3.17,2.82,2.12,4.68,5.59,480
